Cities,City name,Geography,Geography,Views,Watch time (hours),Average view duration
Total,,,,270092,28147.3197,0:06:15
0x89c24fa5d33f083b:0xc80b8f06e177fe62,New York,US,US-NY,5575,600.9866,0:06:28
0x8640b8b4488d8501:0xca0d02def365053b,Houston,US,US-TX,1449,159.4144,0:06:36
0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,Chicago,US,US-IL,1359,160.962,0:07:06
0x47d8a00baf21de75:0x52963a5addd52a99,London,GB,GB-ENG,1151,120.9566,0:06:18
0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,Philadelphia,US,US-PA,1056,124.9324,0:07:05
0x80c2c75ddc27da13:0xe22fdf6f254608f4,Los Angeles,US,US-CA,909,101.9686,0:06:43
0x88f5045d6993098d:0x66fede2f990b630b,Atlanta,US,US-GA,900,106.8933,0:07:07
0x864c19f77b45974b:0xb9ec9ba4f647678f,Dallas,US,US-TX,859,97.6643,0:06:49
0x1e95619cbec65033:0xf66262b07a847b4c,Pretoria,ZA,ZA-GP,522,69.7851,0:08:01
0x88541fc4fc381a81:0x884650e6bf43d164,Charlotte,US,US-NC,487,63.6744,0:07:50
0x8edb3f9784ded2a1:0x24f321bfabb7af40,Kingston,JM,JM-02,436,56.1353,0:07:43
0x1dcc500f8826eed7:0x687fe1fc2828aa87,Cape Town,ZA,ZA-WC,404,48.3885,0:07:11
0x89c803aed6f483b7:0x44896a84223e758,Baltimore,US,US-MD,400,50.8398,0:07:37
0x8824ca0110cb1d75:0x5776864e35b9c4d2,Detroit,US,US-MI,342,44.9109,0:07:52
0x182f1172d84d49a7:0xf7cf0254b297924c,Nairobi,KE,KE-30,277,34.9036,0:07:33
0x88e5b716f1ceafeb:0xc4cd7d3896fcc7e2,Jacksonville,US,US-FL,262,38.8407,0:08:53
0x80c8c45e5468d0ed:0xf98463eab8414b62,Las Vegas,US,US-NV,224,30.0765,0:08:03
0x89d4cb90d7c63ba5:0x323555502ab4c477,Toronto,CA,CA-ON,218,27.8155,0:07:39
0x87d57e1eea439745:0xd193f315601ab6fe,Memphis,US,US-TN,211,30.7534,0:08:44
0x88e773d8fecdbc77:0xac3b2063ca5bf9e,Orlando,US,US-FL,209,28.4735,0:08:10
