Date,Content type,Views
2023-11-10,Videos,9202
2023-11-11,Videos,9179
2023-11-12,Videos,8524
2023-11-13,Videos,8160
2023-11-14,Videos,8323
2023-11-15,Videos,8496
2023-11-16,Videos,8791
2023-11-17,Videos,8156
2023-11-18,Videos,9181
2023-11-19,Videos,7568
2023-11-20,Videos,26507
2023-11-21,Videos,23231
2023-11-22,Videos,11825
2023-11-23,Videos,10558
2023-11-24,Videos,9583
2023-11-25,Videos,9061
2023-11-26,Videos,9108
2023-11-27,Videos,8591
2023-11-28,Videos,8052
2023-11-29,Videos,7312
2023-11-30,Videos,7297
2023-12-01,Videos,6752
2023-12-02,Videos,7517
2023-12-03,Videos,7428
2023-12-04,Videos,7063
2023-12-05,Videos,7372
2023-12-06,Videos,7774
2023-12-07,Videos,9481
