Date,Geography,Views
2023-11-10,AE,0
2023-11-11,AE,0
2023-11-12,AE,0
2023-11-13,AE,0
2023-11-14,AE,0
2023-11-15,AE,0
2023-11-16,AE,0
2023-11-17,AE,10
2023-11-18,AE,11
2023-11-19,AE,0
2023-11-20,AE,0
2023-11-21,AE,33
2023-11-22,AE,16
2023-11-23,AE,0
2023-11-24,AE,0
2023-11-25,AE,0
2023-11-26,AE,10
2023-11-27,AE,0
2023-11-28,AE,0
2023-11-29,AE,0
2023-11-30,AE,0
2023-12-01,AE,0
2023-12-02,AE,0
2023-12-03,AE,0
2023-12-04,AE,13
2023-12-05,AE,0
2023-12-06,AE,0
2023-12-07,AE,0
2023-11-10,AG,13
2023-11-11,AG,0
2023-11-12,AG,0
2023-11-13,AG,0
2023-11-14,AG,0
2023-11-15,AG,0
2023-11-16,AG,0
2023-11-17,AG,0
2023-11-18,AG,0
2023-11-19,AG,0
2023-11-20,AG,12
2023-11-21,AG,18
2023-11-22,AG,15
2023-11-23,AG,0
2023-11-24,AG,0
2023-11-25,AG,10
2023-11-26,AG,0
2023-11-27,AG,0
2023-11-28,AG,11
2023-11-29,AG,0
2023-11-30,AG,0
2023-12-01,AG,0
2023-12-02,AG,0
2023-12-03,AG,0
2023-12-04,AG,24
2023-12-05,AG,0
2023-12-06,AG,0
2023-12-07,AG,0
2023-11-10,AL,0
2023-11-11,AL,0
2023-11-12,AL,0
2023-11-13,AL,0
2023-11-14,AL,0
2023-11-15,AL,0
2023-11-16,AL,0
2023-11-17,AL,0
2023-11-18,AL,0
2023-11-19,AL,0
2023-11-20,AL,12
2023-11-21,AL,11
2023-11-22,AL,0
2023-11-23,AL,0
2023-11-24,AL,0
2023-11-25,AL,0
2023-11-26,AL,0
2023-11-27,AL,0
2023-11-28,AL,0
2023-11-29,AL,0
2023-11-30,AL,0
2023-12-01,AL,0
2023-12-02,AL,0
2023-12-03,AL,0
2023-12-04,AL,0
2023-12-05,AL,0
2023-12-06,AL,0
2023-12-07,AL,0
2023-11-10,AO,0
2023-11-11,AO,0
2023-11-12,AO,0
2023-11-13,AO,0
2023-11-14,AO,0
2023-11-15,AO,0
2023-11-16,AO,0
2023-11-17,AO,0
2023-11-18,AO,0
2023-11-19,AO,0
2023-11-20,AO,0
2023-11-21,AO,10
2023-11-22,AO,0
2023-11-23,AO,0
2023-11-24,AO,0
2023-11-25,AO,10
2023-11-26,AO,0
2023-11-27,AO,0
2023-11-28,AO,0
2023-11-29,AO,0
2023-11-30,AO,0
2023-12-01,AO,0
2023-12-02,AO,0
2023-12-03,AO,14
2023-12-04,AO,0
2023-12-05,AO,0
2023-12-06,AO,0
2023-12-07,AO,0
2023-11-10,AR,0
2023-11-11,AR,0
2023-11-12,AR,0
2023-11-13,AR,13
2023-11-14,AR,10
2023-11-15,AR,16
2023-11-16,AR,11
2023-11-17,AR,10
2023-11-18,AR,11
2023-11-19,AR,0
2023-11-20,AR,13
2023-11-21,AR,18
2023-11-22,AR,0
2023-11-23,AR,0
2023-11-24,AR,0
2023-11-25,AR,0
2023-11-26,AR,0
2023-11-27,AR,0
2023-11-28,AR,0
2023-11-29,AR,0
2023-11-30,AR,0
2023-12-01,AR,0
2023-12-02,AR,0
2023-12-03,AR,0
2023-12-04,AR,0
2023-12-05,AR,0
2023-12-06,AR,0
2023-12-07,AR,0
2023-11-10,AT,0
2023-11-11,AT,0
2023-11-12,AT,14
2023-11-13,AT,0
2023-11-14,AT,0
2023-11-15,AT,0
2023-11-16,AT,0
2023-11-17,AT,0
2023-11-18,AT,17
2023-11-19,AT,0
2023-11-20,AT,11
2023-11-21,AT,21
2023-11-22,AT,0
2023-11-23,AT,0
2023-11-24,AT,0
2023-11-25,AT,0
2023-11-26,AT,0
2023-11-27,AT,0
2023-11-28,AT,0
2023-11-29,AT,0
2023-11-30,AT,0
2023-12-01,AT,0
2023-12-02,AT,0
2023-12-03,AT,0
2023-12-04,AT,0
2023-12-05,AT,14
2023-12-06,AT,0
2023-12-07,AT,0
2023-11-10,AU,90
2023-11-11,AU,78
2023-11-12,AU,86
2023-11-13,AU,67
2023-11-14,AU,107
2023-11-15,AU,95
2023-11-16,AU,94
2023-11-17,AU,146
2023-11-18,AU,78
2023-11-19,AU,74
2023-11-20,AU,305
2023-11-21,AU,249
2023-11-22,AU,130
2023-11-23,AU,135
2023-11-24,AU,104
2023-11-25,AU,88
2023-11-26,AU,81
2023-11-27,AU,70
2023-11-28,AU,109
2023-11-29,AU,65
2023-11-30,AU,89
2023-12-01,AU,93
2023-12-02,AU,73
2023-12-03,AU,93
2023-12-04,AU,94
2023-12-05,AU,77
2023-12-06,AU,112
2023-12-07,AU,0
2023-11-10,AW,0
2023-11-11,AW,0
2023-11-12,AW,0
2023-11-13,AW,0
2023-11-14,AW,0
2023-11-15,AW,0
2023-11-16,AW,0
2023-11-17,AW,0
2023-11-18,AW,0
2023-11-19,AW,0
2023-11-20,AW,0
2023-11-21,AW,0
2023-11-22,AW,0
2023-11-23,AW,0
2023-11-24,AW,0
2023-11-25,AW,0
2023-11-26,AW,0
2023-11-27,AW,0
2023-11-28,AW,0
2023-11-29,AW,0
2023-11-30,AW,0
2023-12-01,AW,0
2023-12-02,AW,0
2023-12-03,AW,0
2023-12-04,AW,0
2023-12-05,AW,0
2023-12-06,AW,0
2023-12-07,AW,0
2023-11-10,BA,0
2023-11-11,BA,0
2023-11-12,BA,0
2023-11-13,BA,0
2023-11-14,BA,0
2023-11-15,BA,0
2023-11-16,BA,0
2023-11-17,BA,0
2023-11-18,BA,0
2023-11-19,BA,0
2023-11-20,BA,0
2023-11-21,BA,0
2023-11-22,BA,0
2023-11-23,BA,0
2023-11-24,BA,0
2023-11-25,BA,0
2023-11-26,BA,0
2023-11-27,BA,0
2023-11-28,BA,0
2023-11-29,BA,0
2023-11-30,BA,0
2023-12-01,BA,0
2023-12-02,BA,0
2023-12-03,BA,0
2023-12-04,BA,0
2023-12-05,BA,0
2023-12-06,BA,0
2023-12-07,BA,0
2023-11-10,BB,16
2023-11-11,BB,24
2023-11-12,BB,15
2023-11-13,BB,20
2023-11-14,BB,11
2023-11-15,BB,12
2023-11-16,BB,10
2023-11-17,BB,16
2023-11-18,BB,17
2023-11-19,BB,12
2023-11-20,BB,57
2023-11-21,BB,86
2023-11-22,BB,37
2023-11-23,BB,33
2023-11-24,BB,30
2023-11-25,BB,25
2023-11-26,BB,16
2023-11-27,BB,14
2023-11-28,BB,0
2023-11-29,BB,20
2023-11-30,BB,20
2023-12-01,BB,13
2023-12-02,BB,20
2023-12-03,BB,23
2023-12-04,BB,16
2023-12-05,BB,14
2023-12-06,BB,15
2023-12-07,BB,0
2023-11-10,BD,0
2023-11-11,BD,0
2023-11-12,BD,0
2023-11-13,BD,0
2023-11-14,BD,0
2023-11-15,BD,0
2023-11-16,BD,0
2023-11-17,BD,0
2023-11-18,BD,0
2023-11-19,BD,0
2023-11-20,BD,31
2023-11-21,BD,40
2023-11-22,BD,10
2023-11-23,BD,0
2023-11-24,BD,0
2023-11-25,BD,0
2023-11-26,BD,0
2023-11-27,BD,0
2023-11-28,BD,0
2023-11-29,BD,10
2023-11-30,BD,13
2023-12-01,BD,0
2023-12-02,BD,0
2023-12-03,BD,0
2023-12-04,BD,0
2023-12-05,BD,11
2023-12-06,BD,0
2023-12-07,BD,0
2023-11-10,BE,0
2023-11-11,BE,13
2023-11-12,BE,18
2023-11-13,BE,11
2023-11-14,BE,10
2023-11-15,BE,0
2023-11-16,BE,14
2023-11-17,BE,14
2023-11-18,BE,15
2023-11-19,BE,13
2023-11-20,BE,43
2023-11-21,BE,65
2023-11-22,BE,32
2023-11-23,BE,15
2023-11-24,BE,16
2023-11-25,BE,20
2023-11-26,BE,26
2023-11-27,BE,13
2023-11-28,BE,10
2023-11-29,BE,11
2023-11-30,BE,0
2023-12-01,BE,12
2023-12-02,BE,16
2023-12-03,BE,10
2023-12-04,BE,10
2023-12-05,BE,0
2023-12-06,BE,17
2023-12-07,BE,0
2023-11-10,BG,0
2023-11-11,BG,0
2023-11-12,BG,0
2023-11-13,BG,0
2023-11-14,BG,0
2023-11-15,BG,0
2023-11-16,BG,10
2023-11-17,BG,0
2023-11-18,BG,0
2023-11-19,BG,0
2023-11-20,BG,28
2023-11-21,BG,29
2023-11-22,BG,0
2023-11-23,BG,0
2023-11-24,BG,0
2023-11-25,BG,14
2023-11-26,BG,0
2023-11-27,BG,0
2023-11-28,BG,10
2023-11-29,BG,0
2023-11-30,BG,0
2023-12-01,BG,0
2023-12-02,BG,0
2023-12-03,BG,0
2023-12-04,BG,0
2023-12-05,BG,0
2023-12-06,BG,0
2023-12-07,BG,0
2023-11-10,BM,0
2023-11-11,BM,0
2023-11-12,BM,0
2023-11-13,BM,0
2023-11-14,BM,0
2023-11-15,BM,0
2023-11-16,BM,0
2023-11-17,BM,0
2023-11-18,BM,0
2023-11-19,BM,0
2023-11-20,BM,0
2023-11-21,BM,0
2023-11-22,BM,0
2023-11-23,BM,0
2023-11-24,BM,0
2023-11-25,BM,0
2023-11-26,BM,0
2023-11-27,BM,0
2023-11-28,BM,0
2023-11-29,BM,0
2023-11-30,BM,0
2023-12-01,BM,0
2023-12-02,BM,0
2023-12-03,BM,0
2023-12-04,BM,0
2023-12-05,BM,0
2023-12-06,BM,0
2023-12-07,BM,0
2023-11-10,BN,0
2023-11-11,BN,0
2023-11-12,BN,0
2023-11-13,BN,0
2023-11-14,BN,0
2023-11-15,BN,0
2023-11-16,BN,0
2023-11-17,BN,0
2023-11-18,BN,0
2023-11-19,BN,0
2023-11-20,BN,11
2023-11-21,BN,0
2023-11-22,BN,0
2023-11-23,BN,0
2023-11-24,BN,0
2023-11-25,BN,0
2023-11-26,BN,0
2023-11-27,BN,0
2023-11-28,BN,0
2023-11-29,BN,0
2023-11-30,BN,0
2023-12-01,BN,0
2023-12-02,BN,0
2023-12-03,BN,0
2023-12-04,BN,0
2023-12-05,BN,0
2023-12-06,BN,0
2023-12-07,BN,0
2023-11-10,BR,24
2023-11-11,BR,34
2023-11-12,BR,14
2023-11-13,BR,34
2023-11-14,BR,63
2023-11-15,BR,32
2023-11-16,BR,41
2023-11-17,BR,47
2023-11-18,BR,47
2023-11-19,BR,24
2023-11-20,BR,155
2023-11-21,BR,133
2023-11-22,BR,37
2023-11-23,BR,41
2023-11-24,BR,39
2023-11-25,BR,37
2023-11-26,BR,34
2023-11-27,BR,24
2023-11-28,BR,39
2023-11-29,BR,43
2023-11-30,BR,38
2023-12-01,BR,31
2023-12-02,BR,19
2023-12-03,BR,26
2023-12-04,BR,34
2023-12-05,BR,31
2023-12-06,BR,23
2023-12-07,BR,0
2023-11-10,BS,18
2023-11-11,BS,44
2023-11-12,BS,38
2023-11-13,BS,25
2023-11-14,BS,35
2023-11-15,BS,13
2023-11-16,BS,25
2023-11-17,BS,26
2023-11-18,BS,16
2023-11-19,BS,19
2023-11-20,BS,118
2023-11-21,BS,91
2023-11-22,BS,59
2023-11-23,BS,25
2023-11-24,BS,24
2023-11-25,BS,32
2023-11-26,BS,28
2023-11-27,BS,34
2023-11-28,BS,22
2023-11-29,BS,15
2023-11-30,BS,30
2023-12-01,BS,29
2023-12-02,BS,23
2023-12-03,BS,42
2023-12-04,BS,15
2023-12-05,BS,28
2023-12-06,BS,10
2023-12-07,BS,0
2023-11-10,BW,18
2023-11-11,BW,13
2023-11-12,BW,22
2023-11-13,BW,11
2023-11-14,BW,11
2023-11-15,BW,25
2023-11-16,BW,24
2023-11-17,BW,16
2023-11-18,BW,45
2023-11-19,BW,30
2023-11-20,BW,57
2023-11-21,BW,90
2023-11-22,BW,31
2023-11-23,BW,25
2023-11-24,BW,20
2023-11-25,BW,29
2023-11-26,BW,48
2023-11-27,BW,26
2023-11-28,BW,26
2023-11-29,BW,29
2023-11-30,BW,17
2023-12-01,BW,23
2023-12-02,BW,0
2023-12-03,BW,23
2023-12-04,BW,10
2023-12-05,BW,13
2023-12-06,BW,18
2023-12-07,BW,0
2023-11-10,BZ,13
2023-11-11,BZ,18
2023-11-12,BZ,15
2023-11-13,BZ,12
2023-11-14,BZ,15
2023-11-15,BZ,0
2023-11-16,BZ,0
2023-11-17,BZ,0
2023-11-18,BZ,0
2023-11-19,BZ,0
2023-11-20,BZ,20
2023-11-21,BZ,14
2023-11-22,BZ,0
2023-11-23,BZ,12
2023-11-24,BZ,10
2023-11-25,BZ,0
2023-11-26,BZ,0
2023-11-27,BZ,0
2023-11-28,BZ,12
2023-11-29,BZ,0
2023-11-30,BZ,0
2023-12-01,BZ,0
2023-12-02,BZ,0
2023-12-03,BZ,14
2023-12-04,BZ,0
2023-12-05,BZ,0
2023-12-06,BZ,0
2023-12-07,BZ,0
2023-11-10,CA,255
2023-11-11,CA,198
2023-11-12,CA,178
2023-11-13,CA,224
2023-11-14,CA,178
2023-11-15,CA,224
2023-11-16,CA,208
2023-11-17,CA,228
2023-11-18,CA,256
2023-11-19,CA,220
2023-11-20,CA,1001
2023-11-21,CA,622
2023-11-22,CA,273
2023-11-23,CA,332
2023-11-24,CA,272
2023-11-25,CA,238
2023-11-26,CA,257
2023-11-27,CA,216
2023-11-28,CA,247
2023-11-29,CA,223
2023-11-30,CA,214
2023-12-01,CA,196
2023-12-02,CA,242
2023-12-03,CA,211
2023-12-04,CA,222
2023-12-05,CA,230
2023-12-06,CA,239
2023-12-07,CA,0
2023-11-10,CD,0
2023-11-11,CD,0
2023-11-12,CD,0
2023-11-13,CD,0
2023-11-14,CD,0
2023-11-15,CD,0
2023-11-16,CD,0
2023-11-17,CD,0
2023-11-18,CD,0
2023-11-19,CD,0
2023-11-20,CD,0
2023-11-21,CD,0
2023-11-22,CD,0
2023-11-23,CD,0
2023-11-24,CD,0
2023-11-25,CD,0
2023-11-26,CD,0
2023-11-27,CD,0
2023-11-28,CD,0
2023-11-29,CD,0
2023-11-30,CD,0
2023-12-01,CD,0
2023-12-02,CD,0
2023-12-03,CD,0
2023-12-04,CD,0
2023-12-05,CD,0
2023-12-06,CD,0
2023-12-07,CD,0
2023-11-10,CH,0
2023-11-11,CH,0
2023-11-12,CH,0
2023-11-13,CH,0
2023-11-14,CH,0
2023-11-15,CH,0
2023-11-16,CH,0
2023-11-17,CH,0
2023-11-18,CH,0
2023-11-19,CH,0
2023-11-20,CH,29
2023-11-21,CH,27
2023-11-22,CH,11
2023-11-23,CH,0
2023-11-24,CH,0
2023-11-25,CH,13
2023-11-26,CH,11
2023-11-27,CH,0
2023-11-28,CH,10
2023-11-29,CH,13
2023-11-30,CH,0
2023-12-01,CH,0
2023-12-02,CH,11
2023-12-03,CH,0
2023-12-04,CH,0
2023-12-05,CH,0
2023-12-06,CH,0
2023-12-07,CH,0
2023-11-10,CL,0
2023-11-11,CL,0
2023-11-12,CL,0
2023-11-13,CL,0
2023-11-14,CL,0
2023-11-15,CL,0
2023-11-16,CL,0
2023-11-17,CL,0
2023-11-18,CL,0
2023-11-19,CL,0
2023-11-20,CL,23
2023-11-21,CL,16
2023-11-22,CL,0
2023-11-23,CL,0
2023-11-24,CL,0
2023-11-25,CL,0
2023-11-26,CL,0
2023-11-27,CL,0
2023-11-28,CL,0
2023-11-29,CL,0
2023-11-30,CL,0
