Geography,Views,Watch time (hours),Average view duration
Total,270092,28147.3197,0:06:15
US,180203,19152.364,0:06:22
GB,11296,1137.6154,0:06:02
ZA,9764,975.6706,0:05:59
CA,7404,744.1917,0:06:01
JM,3268,374.5604,0:06:52
AU,2882,276.2835,0:05:45
PH,2587,236.6466,0:05:29
DE,2362,250.9706,0:06:22
IN,2194,166.8617,0:04:33
TT,2143,221.9752,0:06:12
KE,2067,214.3997,0:06:13
NG,1591,159.7633,0:06:01
BR,1144,101.883,0:05:20
NL,1120,107.2234,0:05:44
FR,903,97.2677,0:06:27
BS,884,97.3538,0:06:36
BW,700,76.6577,0:06:34
NZ,678,62.6787,0:05:32
IE,635,53.9522,0:05:05
BB,592,64.7832,0:06:33
PR,560,60.5557,0:06:29
PT,537,56.5298,0:06:18
ID,536,39.4163,0:04:24
MY,508,43.0702,0:05:05
IT,499,49.1719,0:05:54
GH,477,56.7731,0:07:08
BE,424,47.6543,0:06:44
SE,419,40.222,0:05:45
GY,411,43.8159,0:06:23
MX,366,35.0619,0:05:44
NA,348,38.3683,0:06:36
ZM,337,34.8816,0:06:12
VN,336,29.4193,0:05:15
ZW,302,29.9672,0:05:57
RO,267,28.6139,0:06:25
SA,254,22.3739,0:05:17
PL,223,23.1622,0:06:13
SG,205,19.2585,0:05:38
NO,203,21.5641,0:06:22
JP,192,21.3581,0:06:40
PK,187,15.2185,0:04:52
MA,184,18.1475,0:05:55
LC,180,22.7712,0:07:35
BZ,155,16.9203,0:06:32
DK,154,16.5415,0:06:26
IL,143,10.941,0:04:35
ES,138,17.0645,0:07:25
GR,138,11.0705,0:04:48
RU,138,9.1472,0:03:58
TH,129,9.3144,0:04:19
CH,125,11.6599,0:05:35
SR,121,12.8251,0:06:21
BD,115,9.2206,0:04:48
AG,103,10.7893,0:06:17
AR,102,10.2496,0:06:01
NP,101,7.9844,0:04:44
EG,97,8.9702,0:05:32
GD,94,10.6411,0:06:47
AE,93,6.7874,0:04:22
BG,91,7.348,0:04:50
FI,87,8.3738,0:05:46
TR,87,7.2196,0:04:58
DO,85,7.6555,0:05:24
DZ,81,7.9037,0:05:51
UG,79,9.4715,0:07:11
AT,77,7.0928,0:05:31
MM,53,4.9845,0:05:38
OM,52,3.9798,0:04:35
CO,50,6.7898,0:08:08
CR,50,8.5697,0:10:17
RS,49,4.6284,0:05:40
DM,46,6.0688,0:07:54
PG,44,3.478,0:04:44
CL,39,4.0067,0:06:09
KH,39,2.7457,0:04:13
KN,39,5.3564,0:08:14
QA,38,4.0061,0:06:19
SZ,38,4.7842,0:07:33
IQ,35,3.2835,0:05:37
AO,34,4.652,0:08:12
HK,33,2.096,0:03:48
PA,33,3.6933,0:06:42
TC,32,3.9164,0:07:20
PE,31,4.2584,0:08:14
TN,30,3.1247,0:06:14
GE,26,2.2352,0:05:09
VC,26,1.9086,0:04:24
CW,24,2.3324,0:05:49
MU,24,1.7467,0:04:22
AL,23,1.3873,0:03:37
CZ,23,1.4165,0:03:41
GG,23,2.467,0:06:26
SO,23,2.7345,0:07:08
CM,22,2.0448,0:05:34
HR,17,0.8886,0:03:08
SK,16,0.6952,0:02:36
KY,14,1.7913,0:07:40
ET,13,0.5043,0:02:19
MW,13,1.987,0:09:10
RW,13,1.5038,0:06:56
SI,13,1.5019,0:06:55
VI,13,1.4754,0:06:48
HU,12,1.3415,0:06:42
MK,12,1.0628,0:05:18
TZ,12,1.302,0:06:30
BN,11,0.8668,0:04:43
KR,11,1.0235,0:05:34
KW,11,2.0495,0:11:10
UY,10,1.4544,0:08:43
AW,0,0,
BA,0,0,
BM,0,0,
CD,0,0,
CN,0,0,
FJ,0,0,
GP,0,0,
GU,0,0,
LU,0,0,
LV,0,0,
MQ,0,0,
MT,0,0,
MZ,0,0,
NC,0,0,
RE,0,0,
SC,0,0,
SV,0,0,
